order_id,customer_id,order_date,status,subtotal,tax_amount,shipping_cost,discount_amount,total_amount,currency,payment_method,shipping_address_id,billing_address_id,coupon_code
29,1290,2024-11-05 14:35:10,completed,54.58,4.82,0.0,0.0,59.4,USD,apple_pay,915,128,
30,731,2025-02-02 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,514,894,
31,552,2024-06-23 14:35:10,completed,144.81,7.48,0.0,0.0,152.29,USD,bank_transfer,1352,603,
32,868,2025-08-18 14:35:10,completed,102.32,10.26,0.0,10.18,102.4,USD,paypal,905,343,COUPON565
33,367,2023-12-12 14:35:10,completed,87.55,5.22,0.0,0.45,92.32,USD,google_pay,1860,484,COUPON233
34,50,2025-09-17 14:35:10,completed,26.29,2.84,6.39,0.0,35.52,USD,paypal,1741,786,
35,215,2024-03-31 14:35:10,completed,72.43,3.83,0.0,0.0,76.26,USD,credit_card,1382,961,
36,1260,2023-12-15 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,bank_transfer,1753,1948,
37,1048,2024-05-30 14:35:10,shipped,172.02,16.65,0.0,12.1,176.57,USD,apple_pay,1161,893,COUPON622
38,688,2024-03-08 14:35:10,completed,44.14,2.71,23.88,0.0,70.73,USD,credit_card,918,1512,
39,560,2023-11-22 14:35:10,completed,62.65,6.14,0.0,0.0,68.79,USD,google_pay,1347,1068,
40,614,2025-05-28 14:35:10,completed,190.36,20.46,0.0,0.0,210.82,USD,apple_pay,1024,1630,
41,351,2023-10-18 14:35:10,completed,86.79,7.89,0.0,0.0,94.68,USD,bank_transfer,1157,818,
42,588,2025-08-30 14:35:10,completed,15.73,0.89,10.55,0.0,27.17,USD,apple_pay,1782,1941,
43,338,2024-06-08 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,credit_card,265,1812,
44,684,2025-04-25 14:35:10,completed,113.63,13.52,0.0,0.0,127.15,USD,bank_transfer,926,1034,
45,1360,2025-04-15 14:35:10,completed,145.58,9.21,0.0,17.97,136.82,USD,bank_transfer,1303,1205,COUPON759
46,789,2023-10-23 14:35:10,completed,55.95,4.66,0.0,7.93,52.68,USD,apple_pay,358,940,COUPON275
47,1357,2024-01-03 14:35:10,completed,174.89,19.66,0.0,0.0,194.55,USD,paypal,1434,1846,
48,558,2025-01-10 14:35:10,completed,100.7,6.41,0.0,0.0,107.11,USD,google_pay,632,1569,
49,324,2024-08-31 14:35:10,completed,58.97,4.83,0.0,0.0,63.8,USD,paypal,654,1481,
50,1345,2024-08-22 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,bank_transfer,269,1455,
51,187,2025-01-26 14:35:10,completed,113.09,10.89,0.0,0.0,123.98,USD,paypal,970,510,
52,831,2024-10-22 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,paypal,1701,481,
53,1068,2024-11-13 14:35:10,shipped,19.69,1.57,6.15,0.0,27.41,USD,credit_card,537,1416,
54,1232,2025-05-15 14:35:10,completed,78.82,8.81,0.0,0.0,87.63,USD,paypal,1992,1790,
55,1057,2024-07-30 14:35:10,completed,40.25,3.58,4.55,2.93,45.45,USD,credit_card,581,566,COUPON372
56,1480,2024-09-21 14:35:10,completed,170.85,19.12,0.0,0.0,189.97,USD,paypal,555,1785,
57,427,2024-12-05 14:35:10,shipped,25.18,1.86,22.24,4.99,44.29,USD,bank_transfer,980,1314,COUPON395
58,211,2025-04-11 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,credit_card,1294,1136,
59,1069,2024-04-02 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,1754,1281,
60,456,2024-11-25 14:35:10,completed,101.32,5.6,0.0,0.0,106.92,USD,credit_card,1864,836,
61,1159,2024-12-23 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,356,1848,
62,833,2025-01-14 14:35:10,completed,59.35,6.62,0.0,0.0,65.97,USD,paypal,519,904,
63,722,2025-03-03 14:35:10,completed,143.62,12.49,0.0,0.0,156.11,USD,google_pay,1663,243,
64,11,2024-09-25 14:35:10,completed,2.85,0.3,6.53,0.0,9.68,USD,credit_card,1633,1084,
65,54,2025-02-15 14:35:10,shipped,95.51,10.91,0.0,0.0,106.42,USD,credit_card,696,1962,
66,1430,2024-06-09 14:35:10,shipped,114.32,11.64,0.0,0.0,125.96,USD,credit_card,1484,1031,
67,369,2025-06-27 14:35:10,completed,79.99,9.32,0.0,0.0,89.31,USD,google_pay,1311,1394,
68,491,2024-08-31 14:35:10,shipped,62.76,7.48,0.0,0.0,70.24,USD,bank_transfer,1295,852,
69,718,2025-09-15 14:35:10,completed,180.96,10.49,0.0,29.28,162.17,USD,google_pay,1284,847,COUPON348
70,190,2024-06-29 14:35:10,shipped,128.57,7.75,0.0,0.0,136.32,USD,credit_card,1063,1870,
71,842,2024-05-14 14:35:10,completed,67.86,7.43,0.0,1.13,74.16,USD,google_pay,19,210,COUPON210
72,839,2025-04-13 14:35:10,completed,34.86,1.94,1.1,0.0,37.9,USD,credit_card,384,1865,
73,59,2024-05-24 14:35:10,completed,82.14,9.05,0.0,0.0,91.19,USD,paypal,232,1896,
74,752,2025-04-05 14:35:10,completed,77.45,7.93,0.0,0.0,85.38,USD,bank_transfer,289,762,
75,64,2025-08-22 14:35:10,shipped,132.17,12.33,0.0,0.0,144.5,USD,apple_pay,1035,1793,
76,327,2025-01-04 14:35:10,completed,58.95,4.06,0.0,0.16,62.85,USD,apple_pay,457,1725,COUPON600
77,1048,2025-04-08 14:35:10,completed,264.98,14.51,0.0,0.0,279.49,USD,google_pay,755,348,
78,234,2024-04-15 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,bank_transfer,1516,1227,
79,1435,2023-10-04 14:35:10,shipped,56.85,5.47,0.0,0.0,62.32,USD,paypal,1834,1544,
80,1257,2024-05-15 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,1032,350,
81,331,2024-01-30 14:35:10,completed,68.19,6.15,0.0,0.0,74.34,USD,google_pay,1314,1095,
82,49,2025-02-27 14:35:10,completed,85.9,8.62,0.0,6.34,88.18,USD,paypal,1240,559,COUPON847
83,1209,2023-11-10 14:35:10,completed,64.11,6.87,0.0,0.71,70.27,USD,paypal,699,1993,COUPON927
84,1213,2024-07-11 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,1087,729,
85,1408,2024-03-13 14:35:10,completed,132.33,10.56,0.0,16.34,126.55,USD,paypal,732,630,COUPON792
86,1299,2024-06-06 14:35:10,shipped,77.76,5.67,0.0,2.67,80.76,USD,credit_card,182,1025,COUPON397
87,170,2025-05-19 14:35:10,completed,147.91,16.08,0.0,3.07,160.92,USD,credit_card,1795,1608,COUPON233
88,852,2024-12-18 14:35:10,completed,60.2,7.15,0.0,0.0,67.35,USD,paypal,659,831,
89,1155,2024-09-11 14:35:10,completed,37.97,2.55,19.32,0.0,59.84,USD,google_pay,678,78,
90,928,2024-06-28 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,1887,1397,
91,1277,2024-09-22 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,bank_transfer,940,1836,
92,1489,2025-02-12 14:35:10,completed,188.27,19.0,0.0,0.0,207.27,USD,bank_transfer,156,350,
93,747,2025-04-07 14:35:10,shipped,217.24,11.64,0.0,0.0,228.88,USD,bank_transfer,1583,348,
94,344,2025-04-20 14:35:10,shipped,123.09,7.66,0.0,16.88,113.87,USD,apple_pay,672,1797,COUPON265
95,36,2025-02-26 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,1017,522,
96,548,2023-11-04 14:35:10,shipped,48.82,3.36,10.94,2.56,60.56,USD,credit_card,702,1169,COUPON831
97,108,2025-07-06 14:35:10,shipped,58.44,5.95,0.0,0.0,64.39,USD,bank_transfer,454,1715,
98,138,2023-10-18 14:35:10,completed,22.3,2.17,15.21,0.0,39.68,USD,paypal,684,330,
99,746,2024-01-08 14:35:10,completed,22.52,1.81,4.19,2.3,26.22,USD,paypal,46,815,COUPON909
100,748,2025-01-20 14:35:10,completed,106.49,9.02,0.0,0.0,115.51,USD,google_pay,368,1333,
101,1247,2024-09-02 14:35:10,shipped,43.07,3.68,7.17,0.0,53.92,USD,google_pay,136,986,
102,987,2025-07-03 14:35:10,shipped,52.25,5.31,0.0,0.0,57.56,USD,credit_card,1034,1670,
103,876,2024-09-11 14:35:10,completed,25.71,1.74,16.32,0.0,43.77,USD,credit_card,1362,371,
104,1131,2023-11-05 14:35:10,completed,127.88,8.39,0.0,0.0,136.27,USD,google_pay,99,1498,
105,255,2025-04-19 14:35:10,completed,21.82,2.51,12.14,0.0,36.47,USD,apple_pay,1022,1925,
106,57,2024-06-17 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,492,1748,
107,643,2024-07-29 14:35:10,completed,71.21,6.64,0.0,3.56,74.29,USD,google_pay,227,1257,COUPON438
108,1297,2023-10-17 14:35:10,completed,71.42,4.13,0.0,0.0,75.55,USD,paypal,782,1279,
109,625,2025-03-03 14:35:10,completed,73.81,3.95,0.0,0.0,77.76,USD,paypal,394,1416,
110,1177,2025-01-16 14:35:10,completed,72.68,3.99,0.0,0.0,76.67,USD,google_pay,645,689,
111,1434,2025-08-30 14:35:10,completed,35.61,2.86,20.01,0.0,58.48,USD,apple_pay,902,577,
112,1434,2025-06-12 14:35:10,completed,60.8,5.07,0.0,11.34,54.53,USD,apple_pay,1965,586,COUPON675
113,1439,2025-01-21 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,bank_transfer,1354,279,
114,652,2024-06-21 14:35:10,completed,255.32,17.22,0.0,14.39,258.15,USD,apple_pay,1161,671,COUPON944
115,781,2024-05-27 14:35:10,shipped,69.04,4.21,0.0,0.0,73.25,USD,bank_transfer,1039,1270,
116,1156,2025-03-01 14:35:10,completed,111.29,9.7,0.0,0.0,120.99,USD,google_pay,1831,174,
117,1367,2024-02-01 14:35:10,completed,247.01,28.96,0.0,0.0,275.97,USD,bank_transfer,1950,170,
118,329,2024-08-31 14:35:10,completed,67.1,6.87,0.0,0.0,73.97,USD,bank_transfer,643,1713,
119,450,2024-08-21 14:35:10,completed,60.17,4.07,0.0,0.0,64.24,USD,paypal,1689,1197,
120,90,2025-09-22 14:35:10,completed,22.97,1.64,3.91,0.0,28.52,USD,google_pay,770,1015,
121,1084,2024-03-26 14:35:10,completed,53.95,5.67,0.0,0.0,59.62,USD,apple_pay,1561,1000,
122,333,2024-01-24 14:35:10,completed,156.54,18.12,0.0,0.0,174.66,USD,google_pay,1391,1544,
123,596,2025-02-07 14:35:10,completed,35.61,2.64,1.11,3.59,35.77,USD,credit_card,118,1634,COUPON807
124,1378,2024-11-15 14:35:10,completed,91.46,4.78,0.0,0.0,96.24,USD,paypal,553,1436,
125,460,2024-07-22 14:35:10,completed,52.74,3.45,0.0,7.87,48.32,USD,google_pay,1266,262,COUPON921
126,1379,2023-10-28 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,1813,550,
127,1209,2024-10-05 14:35:10,completed,59.4,5.06,0.0,0.0,64.46,USD,paypal,1781,258,
128,759,2024-03-02 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,1408,1842,
129,71,2024-05-02 14:35:10,completed,26.35,1.41,22.68,0.0,50.44,USD,google_pay,144,712,
130,541,2024-09-26 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,credit_card,1419,666,
131,236,2024-09-20 14:35:10,shipped,153.44,12.2,0.0,0.0,165.64,USD,google_pay,1826,618,
132,618,2025-08-15 14:35:10,completed,83.11,6.41,0.0,0.0,89.52,USD,credit_card,700,1165,
133,1356,2024-09-14 14:35:10,completed,161.15,18.28,0.0,18.92,160.51,USD,apple_pay,385,384,COUPON234
134,735,2025-01-04 14:35:10,shipped,74.13,4.06,0.0,14.07,64.12,USD,apple_pay,1851,1163,COUPON561
135,1351,2024-11-13 14:35:10,completed,194.43,17.61,0.0,0.0,212.04,USD,google_pay,987,1170,
136,1434,2024-04-27 14:35:10,completed,25.41,1.67,8.69,0.0,35.77,USD,credit_card,533,1452,
137,16,2025-03-03 14:35:10,completed,307.64,19.27,0.0,0.0,326.91,USD,google_pay,1499,161,
138,560,2024-07-23 14:35:10,completed,50.6,3.01,0.0,5.93,47.68,USD,credit_card,227,1000,COUPON499
139,1202,2025-03-04 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,google_pay,186,1169,
140,1174,2024-05-02 14:35:10,shipped,52.01,4.97,0.0,0.0,56.98,USD,bank_transfer,1367,709,
141,810,2025-02-09 14:35:10,shipped,4.39,0.27,0.3,0.37,4.59,USD,paypal,1314,1510,COUPON461
142,1403,2024-05-14 14:35:10,completed,77.54,4.78,0.0,0.0,82.32,USD,bank_transfer,1640,133,
143,103,2025-09-27 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,credit_card,1717,1996,
144,563,2023-10-03 14:35:10,completed,45.44,2.68,19.17,4.04,63.25,USD,apple_pay,424,1533,COUPON912
145,756,2024-10-31 14:35:10,completed,174.82,19.01,0.0,19.47,174.36,USD,paypal,27,1978,COUPON348
146,1403,2024-03-24 14:35:10,completed,263.97,25.63,0.0,0.0,289.6,USD,bank_transfer,1036,1365,
147,371,2024-08-02 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,credit_card,1152,686,
148,1286,2025-03-08 14:35:10,shipped,24.14,2.23,20.24,1.89,44.72,USD,apple_pay,806,469,COUPON501
149,1114,2023-12-02 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,623,984,
150,492,2025-04-02 14:35:10,completed,142.98,16.67,0.0,0.0,159.65,USD,google_pay,574,689,
151,1038,2025-09-18 14:35:10,completed,18.1,1.75,6.95,0.0,26.8,USD,paypal,1005,740,
152,754,2025-02-17 14:35:10,completed,158.07,9.09,0.0,22.46,144.7,USD,bank_transfer,259,1732,COUPON805
153,538,2024-06-27 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,bank_transfer,850,925,
154,375,2025-06-20 14:35:10,completed,68.59,7.41,0.0,0.0,76.0,USD,credit_card,757,825,
155,1227,2024-05-03 14:35:10,completed,20.75,1.22,21.45,0.0,43.42,USD,paypal,582,1740,
156,735,2023-12-31 14:35:10,completed,110.16,8.25,0.0,0.0,118.41,USD,google_pay,1959,1035,
157,1138,2025-01-28 14:35:10,completed,354.35,40.21,0.0,8.56,386.0,USD,google_pay,957,905,COUPON608
158,88,2024-08-01 14:35:10,completed,26.16,1.46,21.43,0.0,49.05,USD,bank_transfer,282,1041,
159,260,2025-04-11 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,223,1720,
160,1155,2024-02-25 14:35:10,completed,145.37,13.0,0.0,0.0,158.37,USD,paypal,1153,625,
161,380,2024-03-02 14:35:10,shipped,120.6,11.69,0.0,0.0,132.29,USD,bank_transfer,1517,1758,
162,788,2024-11-05 14:35:10,completed,253.59,28.01,0.0,44.7,236.9,USD,google_pay,1098,1730,COUPON547
163,565,2024-10-12 14:35:10,completed,9.43,1.05,0.85,0.0,11.33,USD,credit_card,1429,753,
164,1377,2024-01-29 14:35:10,completed,79.18,5.0,0.0,0.0,84.18,USD,google_pay,1428,1334,
165,363,2024-09-20 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,google_pay,1550,386,
166,1117,2024-09-01 14:35:10,shipped,58.76,4.83,0.0,0.0,63.59,USD,credit_card,1151,1588,
167,1216,2024-10-28 14:35:10,completed,81.0,6.84,0.0,15.16,72.68,USD,paypal,2,1370,COUPON243
168,981,2025-08-30 14:35:10,shipped,363.02,36.24,0.0,0.0,399.26,USD,google_pay,206,1933,
169,259,2025-07-22 14:35:10,completed,193.54,15.46,0.0,0.0,209.0,USD,apple_pay,451,908,
170,1147,2025-04-14 14:35:10,shipped,44.81,3.17,6.26,8.03,46.21,USD,bank_transfer,862,990,COUPON100
171,373,2024-06-14 14:35:10,completed,120.29,8.94,0.0,0.0,129.23,USD,bank_transfer,1005,1650,
172,229,2024-12-09 14:35:10,shipped,268.0,22.58,0.0,13.97,276.61,USD,apple_pay,413,1231,COUPON349
173,1439,2025-07-13 14:35:10,completed,523.94,36.12,0.0,0.0,560.06,USD,google_pay,1339,1091,
174,564,2024-05-09 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,1472,1354,
175,1371,2025-08-08 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,1983,1030,
176,1476,2024-07-16 14:35:10,completed,20.03,1.3,2.36,0.0,23.69,USD,paypal,866,1719,
177,1060,2024-07-26 14:35:10,completed,56.66,4.85,0.0,0.37,61.14,USD,bank_transfer,1057,106,COUPON413
178,598,2025-09-14 14:35:10,shipped,207.37,22.45,0.0,0.0,229.82,USD,apple_pay,1575,1502,
179,1123,2025-09-15 14:35:10,completed,22.53,1.21,22.22,0.94,45.02,USD,google_pay,1922,656,COUPON363
180,1389,2024-08-23 14:35:10,completed,193.49,13.86,0.0,0.0,207.35,USD,paypal,1730,824,
181,993,2024-02-20 14:35:10,completed,118.71,10.54,0.0,5.0,124.25,USD,google_pay,1088,652,COUPON689
182,1013,2024-09-06 14:35:10,completed,105.62,6.77,0.0,6.21,106.18,USD,google_pay,1306,519,COUPON770
183,685,2023-10-03 14:35:10,completed,136.06,16.01,0.0,0.0,152.07,USD,credit_card,403,1548,
184,341,2024-10-02 14:35:10,completed,60.27,4.21,0.0,0.0,64.48,USD,bank_transfer,1157,919,
185,627,2024-01-01 14:35:10,completed,155.86,9.32,0.0,0.0,165.18,USD,apple_pay,1392,858,
186,734,2024-06-06 14:35:10,completed,85.02,6.56,0.0,12.38,79.2,USD,google_pay,1921,656,COUPON957
187,630,2025-07-18 14:35:10,shipped,208.43,10.67,0.0,25.51,193.59,USD,apple_pay,1127,447,COUPON646
188,536,2024-06-13 14:35:10,completed,150.17,7.73,0.0,5.9,152.0,USD,paypal,330,1415,COUPON874
189,1091,2024-02-24 14:35:10,completed,137.21,14.73,0.0,0.0,151.94,USD,paypal,789,1541,
190,70,2024-09-02 14:35:10,completed,32.07,2.86,13.77,1.43,47.27,USD,credit_card,160,1665,COUPON581
191,1405,2024-04-25 14:35:10,completed,68.38,5.36,0.0,0.0,73.74,USD,credit_card,1215,280,
192,1072,2023-10-08 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,1132,1243,
193,42,2025-05-13 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,121,1888,
194,446,2025-04-22 14:35:10,completed,71.29,8.1,0.0,11.92,67.47,USD,paypal,856,27,COUPON487
195,138,2024-07-07 14:35:10,completed,95.97,9.12,0.0,11.46,93.63,USD,paypal,775,663,COUPON449
196,1428,2024-06-09 14:35:10,completed,54.47,5.37,0.0,0.0,59.84,USD,paypal,927,730,
197,559,2025-03-31 14:35:10,completed,172.1,12.19,0.0,0.0,184.29,USD,google_pay,1090,300,
198,590,2024-11-02 14:35:10,completed,82.85,7.64,0.0,0.0,90.49,USD,credit_card,1672,1067,
199,1055,2024-09-19 14:35:10,shipped,30.3,2.53,6.24,5.24,33.83,USD,credit_card,655,942,COUPON538
200,901,2024-12-09 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,76,1330,
201,1236,2024-09-16 14:35:10,completed,81.77,9.75,0.0,9.95,81.57,USD,paypal,1033,1506,COUPON314
202,1421,2025-07-21 14:35:10,shipped,48.7,4.83,4.44,0.0,57.97,USD,google_pay,1952,878,
203,624,2025-08-07 14:35:10,completed,134.5,15.2,0.0,0.0,149.7,USD,paypal,1750,424,
204,663,2024-03-24 14:35:10,completed,52.09,5.83,0.0,8.01,49.91,USD,apple_pay,110,695,COUPON178
205,1422,2024-11-08 14:35:10,shipped,305.6,33.53,0.0,0.0,339.13,USD,paypal,825,394,
206,706,2024-03-29 14:35:10,completed,39.41,3.84,21.85,0.7,64.4,USD,credit_card,1363,1076,COUPON865
207,1017,2023-11-11 14:35:10,completed,38.51,3.3,15.8,0.0,57.61,USD,apple_pay,1964,1507,
208,1239,2025-01-15 14:35:10,completed,174.17,19.59,0.0,16.35,177.41,USD,paypal,1402,1140,COUPON452
209,208,2023-12-01 14:35:10,refunded,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,1148,1552,
210,1235,2024-07-01 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,847,1079,
211,1351,2025-06-22 14:35:10,completed,296.37,31.34,0.0,42.91,284.8,USD,bank_transfer,185,1581,COUPON913
212,507,2023-09-30 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,paypal,286,1046,
213,705,2023-10-16 14:35:10,completed,484.92,37.54,0.0,0.0,522.46,USD,google_pay,514,1777,
214,1161,2025-06-23 14:35:10,shipped,71.83,4.99,0.0,0.0,76.82,USD,google_pay,337,652,
215,963,2024-03-26 14:35:10,shipped,330.13,18.48,0.0,0.0,348.61,USD,credit_card,1824,476,
216,1378,2024-10-08 14:35:10,completed,12.9,0.79,3.77,0.0,17.46,USD,bank_transfer,1368,621,
217,859,2024-01-10 14:35:10,completed,191.52,14.41,0.0,31.73,174.2,USD,google_pay,1197,1462,COUPON547
218,305,2023-11-29 14:35:10,completed,44.06,4.65,1.49,0.0,50.2,USD,google_pay,836,1858,
219,282,2024-03-28 14:35:10,completed,60.0,4.25,0.0,0.0,64.25,USD,google_pay,1688,1789,
220,271,2024-03-26 14:35:10,completed,10.66,0.8,10.98,0.0,22.44,USD,bank_transfer,810,957,
221,474,2023-11-18 14:35:10,completed,46.43,3.11,21.3,0.39,70.45,USD,apple_pay,323,1525,COUPON503
222,778,2025-04-26 14:35:10,completed,8.67,0.86,10.13,0.0,19.66,USD,google_pay,1691,1659,
223,1437,2024-12-12 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,apple_pay,577,1170,
224,1359,2025-07-08 14:35:10,completed,85.61,5.8,0.0,0.0,91.41,USD,paypal,1759,1393,
225,360,2025-08-24 14:35:10,completed,27.22,2.68,9.7,2.04,37.56,USD,paypal,1540,1989,COUPON247
226,52,2024-04-10 14:35:10,completed,137.9,15.72,0.0,0.0,153.62,USD,apple_pay,312,334,
227,1430,2024-02-18 14:35:10,completed,84.38,8.54,0.0,0.0,92.92,USD,credit_card,1516,1352,
228,94,2025-07-29 14:35:10,completed,82.77,4.74,0.0,10.93,76.58,USD,paypal,1047,1699,COUPON749
229,1428,2023-12-29 14:35:10,completed,240.61,16.7,0.0,0.0,257.31,USD,apple_pay,797,1284,
230,692,2024-05-13 14:35:10,completed,59.28,6.59,0.0,9.81,56.06,USD,credit_card,882,716,COUPON157
231,425,2025-03-31 14:35:10,shipped,56.94,5.93,0.0,0.0,62.87,USD,bank_transfer,545,1521,
232,74,2025-01-11 14:35:10,shipped,21.99,2.16,18.9,0.0,43.05,USD,bank_transfer,50,346,
233,210,2025-01-22 14:35:10,completed,12.21,1.41,0.76,0.0,14.38,USD,apple_pay,194,518,
234,1449,2024-03-24 14:35:10,completed,205.04,11.41,0.0,0.0,216.45,USD,bank_transfer,731,524,
235,1354,2025-07-23 14:35:10,completed,160.88,16.59,0.0,0.19,177.28,USD,paypal,1040,1963,COUPON787
236,1232,2024-03-15 14:35:10,completed,102.1,9.97,0.0,17.25,94.82,USD,apple_pay,1122,8,COUPON223
237,1395,2025-04-20 14:35:10,completed,85.0,4.52,0.0,0.0,89.52,USD,credit_card,978,1509,
238,1007,2025-02-07 14:35:10,refunded,0.0,0.0,0.0,0.0,0.0,USD,paypal,571,1536,
239,1246,2024-01-23 14:35:10,completed,19.18,1.88,4.22,2.9,22.38,USD,apple_pay,514,1230,COUPON506
240,1337,2025-04-26 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,1150,472,
241,103,2024-04-29 14:35:10,cancelled,0.0,0.0,0.0,0.0,0.0,USD,bank_transfer,97,1554,
242,218,2023-11-03 14:35:10,shipped,95.89,6.52,0.0,0.0,102.41,USD,google_pay,545,317,
243,547,2024-03-02 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,40,392,
244,11,2025-02-10 14:35:10,refunded,0.0,0.0,0.0,0.0,0.0,USD,google_pay,842,1312,
245,1160,2025-01-11 14:35:10,shipped,59.21,3.98,0.0,7.68,55.51,USD,google_pay,654,1664,COUPON120
