supplier_id,supplier_name,contact_email,contact_phone,country,city,rating,lead_time_days,is_active,contract_start_date
17,Supplier_17 Inc.,contact@supplier_17.com,+1-829-174-6965,United States,City_48,4.6,16,True,2024-05-22
18,Supplier_18 Inc.,contact@supplier_18.com,+1-279-683-8446,Vietnam,City_3,4.4,10,True,2025-06-01
19,Supplier_19 Inc.,contact@supplier_19.com,+1-335-541-6873,India,City_81,4.0,20,True,2025-02-19
20,Supplier_20 Inc.,contact@supplier_20.com,+1-589-115-5959,China,City_71,4.7,27,True,2024-01-22
21,Supplier_21 Inc.,contact@supplier_21.com,+1-577-242-2193,India,City_47,3.7,13,True,2025-05-01
22,Supplier_22 Inc.,contact@supplier_22.com,+1-671-598-8486,South Korea,City_91,3.2,26,True,2024-10-30
23,Supplier_23 Inc.,contact@supplier_23.com,+1-594-716-4029,China,City_13,4.1,28,True,2024-02-12
24,Supplier_24 Inc.,contact@supplier_24.com,+1-348-387-2505,Brazil,City_92,4.2,7,True,2025-03-01
25,Supplier_25 Inc.,contact@supplier_25.com,+1-366-244-8823,Taiwan,City_66,4.2,17,False,2024-08-19
26,Supplier_26 Inc.,contact@supplier_26.com,+1-472-235-2724,Mexico,City_45,4.4,14,True,2025-07-14
27,Supplier_27 Inc.,contact@supplier_27.com,+1-526-545-9286,Germany,City_1,4.7,7,True,2024-08-19
28,Supplier_28 Inc.,contact@supplier_28.com,+1-708-950-1000,Brazil,City_3,4.9,4,False,2025-01-17
29,Supplier_29 Inc.,contact@supplier_29.com,+1-921-450-7717,South Korea,City_7,3.9,9,True,2024-11-17
30,Supplier_30 Inc.,contact@supplier_30.com,+1-681-281-9242,Germany,City_72,4.2,26,True,2024-11-16
31,Supplier_31 Inc.,contact@supplier_31.com,+1-205-159-2457,India,City_67,4.3,29,True,2025-03-18
32,Supplier_32 Inc.,contact@supplier_32.com,+1-905-368-8415,Japan,City_12,3.3,16,False,2025-08-23
33,Supplier_33 Inc.,contact@supplier_33.com,+1-693-167-1965,Taiwan,City_72,4.3,27,True,2025-05-28
34,Supplier_34 Inc.,contact@supplier_34.com,+1-318-688-7091,United States,City_79,3.4,17,True,2025-05-10
35,Supplier_35 Inc.,contact@supplier_35.com,+1-872-188-6160,Germany,City_55,3.2,4,True,2025-01-09
36,Supplier_36 Inc.,contact@supplier_36.com,+1-651-154-3230,Japan,City_6,3.1,5,True,2023-12-31
37,Supplier_37 Inc.,contact@supplier_37.com,+1-521-796-1240,United States,City_62,3.5,25,True,2023-10-30
38,Supplier_38 Inc.,contact@supplier_38.com,+1-288-998-9260,Brazil,City_40,4.1,13,True,2025-01-09
39,Supplier_39 Inc.,contact@supplier_39.com,+1-861-244-9550,India,City_53,4.2,21,True,2024-07-03
40,Supplier_40 Inc.,contact@supplier_40.com,+1-552-234-5212,South Korea,City_61,4.5,16,True,2025-05-31
41,Supplier_41 Inc.,contact@supplier_41.com,+1-839-912-9432,Germany,City_61,3.4,12,True,2025-06-06
42,Supplier_42 Inc.,contact@supplier_42.com,+1-418-889-2158,United States,City_34,3.7,7,True,2024-02-02
43,Supplier_43 Inc.,contact@supplier_43.com,+1-879-725-7607,Japan,City_88,3.4,17,True,2025-01-23
44,Supplier_44 Inc.,contact@supplier_44.com,+1-945-468-8173,South Korea,City_68,4.5,29,True,2025-03-27
45,Supplier_45 Inc.,contact@supplier_45.com,+1-630-642-1990,Vietnam,City_35,5.0,16,False,2024-05-28
46,Supplier_46 Inc.,contact@supplier_46.com,+1-398-702-9977,Japan,City_92,5.0,12,True,2024-04-01
47,Supplier_47 Inc.,contact@supplier_47.com,+1-399-660-5974,Germany,City_41,4.6,15,True,2023-11-23
48,Supplier_48 Inc.,contact@supplier_48.com,+1-505-515-3259,Mexico,City_7,3.7,4,True,2024-06-01
49,Supplier_49 Inc.,contact@supplier_49.com,+1-483-821-1821,Vietnam,City_47,3.9,13,True,2024-08-22
50,Supplier_50 Inc.,contact@supplier_50.com,+1-606-263-4374,Brazil,City_24,4.5,3,True,2024-02-23
51,Supplier_51 Inc.,contact@supplier_51.com,+1-541-884-6317,China,City_6,4.0,25,True,2025-08-01
52,Supplier_52 Inc.,contact@supplier_52.com,+1-882-714-2666,Japan,City_13,4.9,6,True,2024-03-28
53,Supplier_53 Inc.,contact@supplier_53.com,+1-597-197-1312,Germany,City_43,4.6,25,True,2023-10-01
54,Supplier_54 Inc.,contact@supplier_54.com,+1-598-155-3902,Germany,City_82,3.0,25,True,2025-01-02
55,Supplier_55 Inc.,contact@supplier_55.com,+1-522-937-5391,China,City_88,3.4,3,True,2023-10-17
56,Supplier_56 Inc.,contact@supplier_56.com,+1-338-286-8171,Taiwan,City_73,3.7,4,False,2025-07-09
57,Supplier_57 Inc.,contact@supplier_57.com,+1-280-427-2818,Taiwan,City_28,4.7,8,True,2024-09-08
58,Supplier_58 Inc.,contact@supplier_58.com,+1-870-802-5253,India,City_82,4.8,13,False,2025-07-16
59,Supplier_59 Inc.,contact@supplier_59.com,+1-704-202-8257,Japan,City_17,3.9,20,False,2024-01-03
60,Supplier_60 Inc.,contact@supplier_60.com,+1-890-474-1459,Japan,City_86,4.5,5,False,2024-11-08
61,Supplier_61 Inc.,contact@supplier_61.com,+1-893-736-4542,South Korea,City_99,4.4,9,True,2024-01-15
62,Supplier_62 Inc.,contact@supplier_62.com,+1-321-103-5545,Taiwan,City_17,4.9,9,True,2024-03-29
63,Supplier_63 Inc.,contact@supplier_63.com,+1-826-815-5656,China,City_10,4.1,23,True,2025-05-25
64,Supplier_64 Inc.,contact@supplier_64.com,+1-426-769-6518,Brazil,City_79,4.8,20,True,2024-12-23
65,Supplier_65 Inc.,contact@supplier_65.com,+1-582-802-6578,Germany,City_6,3.7,5,False,2024-04-18
66,Supplier_66 Inc.,contact@supplier_66.com,+1-783-691-1213,United States,City_51,4.1,29,True,2025-06-15
67,Supplier_67 Inc.,contact@supplier_67.com,+1-759-496-8196,India,City_34,3.1,25,True,2024-04-26
68,Supplier_68 Inc.,contact@supplier_68.com,+1-712-373-3053,Japan,City_85,3.4,30,True,2024-01-13
69,Supplier_69 Inc.,contact@supplier_69.com,+1-915-483-4686,United States,City_1,3.8,17,True,2025-03-22
70,Supplier_70 Inc.,contact@supplier_70.com,+1-542-435-1131,Japan,City_21,4.3,29,False,2025-01-24
71,Supplier_71 Inc.,contact@supplier_71.com,+1-588-420-5179,Germany,City_51,3.4,6,True,2024-12-12
72,Supplier_72 Inc.,contact@supplier_72.com,+1-388-696-2001,Germany,City_85,4.9,25,True,2025-01-17
73,Supplier_73 Inc.,contact@supplier_73.com,+1-426-415-6423,China,City_9,3.0,28,True,2023-11-10
74,Supplier_74 Inc.,contact@supplier_74.com,+1-631-959-1760,Taiwan,City_32,3.0,27,True,2024-02-07
75,Supplier_75 Inc.,contact@supplier_75.com,+1-623-622-5149,Japan,City_2,3.3,6,False,2024-06-01
76,Supplier_76 Inc.,contact@supplier_76.com,+1-425-913-3229,Brazil,City_1,3.6,24,True,2024-05-19
77,Supplier_77 Inc.,contact@supplier_77.com,+1-542-872-9897,India,City_42,4.7,30,True,2025-03-07
78,Supplier_78 Inc.,contact@supplier_78.com,+1-807-854-7938,South Korea,City_22,3.8,10,True,2024-12-26
79,Supplier_79 Inc.,contact@supplier_79.com,+1-629-787-3935,United States,City_89,3.3,14,True,2025-02-19
80,Supplier_80 Inc.,contact@supplier_80.com,+1-279-361-8568,India,City_4,4.4,7,False,2025-05-04
81,Supplier_81 Inc.,contact@supplier_81.com,+1-293-920-6640,Germany,City_29,4.4,20,True,2024-06-14
82,Supplier_82 Inc.,contact@supplier_82.com,+1-917-272-2621,Brazil,City_93,4.3,5,True,2024-03-10
83,Supplier_83 Inc.,contact@supplier_83.com,+1-327-634-9009,United States,City_88,3.7,6,True,2025-05-07
84,Supplier_84 Inc.,contact@supplier_84.com,+1-715-547-4464,Mexico,City_48,3.7,20,False,2024-01-25
85,Supplier_85 Inc.,contact@supplier_85.com,+1-967-574-8707,Germany,City_91,4.4,15,True,2025-07-15
86,Supplier_86 Inc.,contact@supplier_86.com,+1-925-151-6565,Japan,City_62,4.1,28,True,2025-01-20
87,Supplier_87 Inc.,contact@supplier_87.com,+1-268-660-7151,Brazil,City_20,4.0,21,True,2025-03-06
88,Supplier_88 Inc.,contact@supplier_88.com,+1-721-382-6434,South Korea,City_7,4.3,19,True,2024-04-28
89,Supplier_89 Inc.,contact@supplier_89.com,+1-366-101-1884,Germany,City_71,3.4,12,True,2023-11-28
90,Supplier_90 Inc.,contact@supplier_90.com,+1-434-238-3547,United States,City_33,3.2,11,True,2024-11-17
91,Supplier_91 Inc.,contact@supplier_91.com,+1-870-316-3157,Mexico,City_96,3.2,16,True,2024-08-26
92,Supplier_92 Inc.,contact@supplier_92.com,+1-791-716-4215,United States,City_87,3.3,23,True,2025-04-21
93,Supplier_93 Inc.,contact@supplier_93.com,+1-236-749-4405,United States,City_36,4.9,25,True,2025-04-17
94,Supplier_94 Inc.,contact@supplier_94.com,+1-333-834-8191,India,City_46,4.7,7,True,2025-05-16
95,Supplier_95 Inc.,contact@supplier_95.com,+1-449-481-4177,United States,City_100,4.5,19,False,2025-07-12
96,Supplier_96 Inc.,contact@supplier_96.com,+1-616-359-7485,Japan,City_1,4.4,29,True,2024-06-05
97,Supplier_97 Inc.,contact@supplier_97.com,+1-667-570-6830,Vietnam,City_75,3.2,20,True,2025-06-18
98,Supplier_98 Inc.,contact@supplier_98.com,+1-900-123-3652,Brazil,City_12,3.8,29,True,2025-06-15
99,Supplier_99 Inc.,contact@supplier_99.com,+1-680-405-7195,Brazil,City_6,4.7,8,True,2024-03-04
100,Supplier_100 Inc.,contact@supplier_100.com,+1-423-222-1477,South Korea,City_32,4.7,26,True,2024-11-20
