product_id,warehouse,current_stock,reorder_point,max_stock,last_updated,supplier_id
10,Warehouse_A,263,49,147,2025-09-23,9
10,Warehouse_B,126,35,210,2025-09-21,9
10,Warehouse_C,323,47,282,2025-09-03,9
10,Warehouse_D,113,37,259,2025-09-10,9
10,Warehouse_E,218,48,144,2025-09-05,9
11,Warehouse_A,225,45,270,2025-09-05,12
11,Warehouse_B,18,11,33,2025-08-31,12
11,Warehouse_C,234,27,135,2025-09-22,12
11,Warehouse_D,275,43,172,2025-09-24,12
11,Warehouse_E,77,15,105,2025-09-13,12
12,Warehouse_A,439,29,87,2025-09-24,18
12,Warehouse_B,260,19,76,2025-09-26,18
12,Warehouse_C,206,27,108,2025-09-28,18
12,Warehouse_D,112,32,256,2025-09-10,18
12,Warehouse_E,30,14,98,2025-09-26,18
13,Warehouse_A,262,14,42,2025-09-23,21
13,Warehouse_B,483,17,136,2025-09-27,21
13,Warehouse_C,178,13,52,2025-09-18,21
13,Warehouse_D,456,25,175,2025-09-26,21
13,Warehouse_E,84,10,50,2025-09-19,21
14,Warehouse_A,213,50,350,2025-09-14,88
14,Warehouse_B,415,48,240,2025-09-02,88
14,Warehouse_C,423,50,250,2025-09-09,88
14,Warehouse_D,126,35,280,2025-09-07,88
14,Warehouse_E,202,31,155,2025-08-31,88
15,Warehouse_A,180,30,120,2025-09-04,85
15,Warehouse_B,34,43,344,2025-09-04,85
15,Warehouse_C,418,10,70,2025-09-06,85
15,Warehouse_D,452,30,210,2025-09-18,85
15,Warehouse_E,151,26,182,2025-09-15,85
16,Warehouse_A,120,29,203,2025-09-13,4
16,Warehouse_B,32,42,168,2025-09-23,4
16,Warehouse_C,303,31,93,2025-09-16,4
16,Warehouse_D,337,11,77,2025-09-06,4
16,Warehouse_E,54,13,91,2025-09-10,4
17,Warehouse_A,256,29,145,2025-09-23,1
17,Warehouse_B,457,40,240,2025-09-26,1
17,Warehouse_C,309,44,352,2025-09-02,1
17,Warehouse_D,274,10,40,2025-09-20,1
17,Warehouse_E,444,19,114,2025-09-20,1
18,Warehouse_A,109,27,81,2025-09-05,6
18,Warehouse_B,269,26,104,2025-08-31,6
18,Warehouse_C,137,23,115,2025-09-05,6
18,Warehouse_D,9,26,182,2025-09-25,6
18,Warehouse_E,450,28,196,2025-09-17,6
19,Warehouse_A,118,48,384,2025-09-16,89
19,Warehouse_B,451,42,168,2025-09-26,89
19,Warehouse_C,281,33,231,2025-09-23,89
19,Warehouse_D,500,27,189,2025-09-08,89
19,Warehouse_E,123,27,162,2025-09-21,89
20,Warehouse_A,467,41,164,2025-09-18,20
20,Warehouse_B,399,38,228,2025-09-22,20
20,Warehouse_C,9,37,148,2025-09-11,20
20,Warehouse_D,191,33,264,2025-09-06,20
20,Warehouse_E,195,14,112,2025-09-10,20
21,Warehouse_A,441,12,84,2025-09-27,85
21,Warehouse_B,198,25,200,2025-09-19,85
21,Warehouse_C,82,31,217,2025-09-13,85
21,Warehouse_D,435,48,288,2025-09-14,85
21,Warehouse_E,83,34,136,2025-09-18,85
22,Warehouse_A,328,41,246,2025-09-24,47
22,Warehouse_B,67,46,276,2025-09-12,47
22,Warehouse_C,83,27,189,2025-09-09,47
22,Warehouse_D,416,15,105,2025-09-24,47
22,Warehouse_E,458,29,145,2025-08-29,47
23,Warehouse_A,486,33,132,2025-09-06,59
23,Warehouse_B,424,38,152,2025-09-20,59
23,Warehouse_C,395,19,57,2025-08-29,59
23,Warehouse_D,28,48,192,2025-08-29,59
23,Warehouse_E,350,48,336,2025-08-30,59
24,Warehouse_A,211,50,400,2025-09-07,46
24,Warehouse_B,310,32,128,2025-09-11,46
24,Warehouse_C,3,41,123,2025-09-13,46
24,Warehouse_D,372,39,117,2025-09-12,46
24,Warehouse_E,268,15,75,2025-09-12,46
25,Warehouse_A,161,44,352,2025-09-06,100
25,Warehouse_B,363,20,80,2025-08-29,100
25,Warehouse_C,235,47,376,2025-09-22,100
25,Warehouse_D,185,35,140,2025-08-29,100
25,Warehouse_E,171,32,224,2025-09-26,100
26,Warehouse_A,215,31,155,2025-09-22,97
26,Warehouse_B,134,49,392,2025-08-31,97
26,Warehouse_C,208,39,117,2025-09-09,97
26,Warehouse_D,424,41,164,2025-09-12,97
26,Warehouse_E,311,23,184,2025-09-10,97
27,Warehouse_A,48,15,60,2025-09-03,80
27,Warehouse_B,261,15,45,2025-09-28,80
27,Warehouse_C,56,45,135,2025-09-03,80
27,Warehouse_D,44,24,192,2025-09-12,80
27,Warehouse_E,328,12,60,2025-09-08,80
28,Warehouse_A,72,10,60,2025-09-22,88
28,Warehouse_B,174,41,164,2025-09-07,88
28,Warehouse_C,472,27,108,2025-09-19,88
28,Warehouse_D,137,12,60,2025-09-01,88
28,Warehouse_E,360,44,308,2025-09-28,88
29,Warehouse_A,91,15,90,2025-09-02,10
29,Warehouse_B,400,38,152,2025-09-27,10
29,Warehouse_C,234,28,140,2025-09-13,10
29,Warehouse_D,66,18,108,2025-09-15,10
29,Warehouse_E,335,26,104,2025-09-10,10
30,Warehouse_A,33,17,102,2025-09-23,61
30,Warehouse_B,85,45,180,2025-09-04,61
30,Warehouse_C,383,38,190,2025-09-25,61
30,Warehouse_D,296,44,352,2025-09-06,61
30,Warehouse_E,359,18,144,2025-09-03,61
31,Warehouse_A,462,50,350,2025-09-04,86
31,Warehouse_B,230,10,50,2025-09-12,86
31,Warehouse_C,167,48,240,2025-09-09,86
31,Warehouse_D,101,43,301,2025-09-13,86
31,Warehouse_E,282,40,160,2025-08-30,86
32,Warehouse_A,481,34,102,2025-09-09,22
32,Warehouse_B,435,37,259,2025-08-30,22
32,Warehouse_C,247,14,112,2025-09-16,22
32,Warehouse_D,270,38,304,2025-09-13,22
32,Warehouse_E,448,32,160,2025-08-29,22
33,Warehouse_A,400,17,51,2025-09-12,56
33,Warehouse_B,150,41,246,2025-09-23,56
33,Warehouse_C,303,38,304,2025-09-20,56
33,Warehouse_D,293,26,182,2025-09-14,56
33,Warehouse_E,380,49,147,2025-09-16,56
34,Warehouse_A,368,17,102,2025-09-03,11
34,Warehouse_B,40,10,40,2025-09-06,11
34,Warehouse_C,473,38,228,2025-08-29,11
34,Warehouse_D,415,25,75,2025-09-10,11
34,Warehouse_E,413,13,39,2025-09-04,11
35,Warehouse_A,399,50,250,2025-09-13,27
35,Warehouse_B,115,10,50,2025-09-17,27
35,Warehouse_C,75,22,66,2025-09-10,27
35,Warehouse_D,51,22,110,2025-09-07,27
35,Warehouse_E,107,41,205,2025-09-02,27
36,Warehouse_A,483,40,200,2025-09-15,75
36,Warehouse_B,433,41,246,2025-09-16,75
36,Warehouse_C,163,29,116,2025-09-27,75
36,Warehouse_D,453,48,336,2025-09-16,75
36,Warehouse_E,193,35,175,2025-09-17,75
37,Warehouse_A,491,13,78,2025-09-27,82
37,Warehouse_B,253,22,66,2025-09-12,82
37,Warehouse_C,32,29,145,2025-09-05,82
37,Warehouse_D,489,20,60,2025-09-28,82
37,Warehouse_E,81,10,70,2025-09-05,82
38,Warehouse_A,19,50,150,2025-09-16,52
38,Warehouse_B,242,28,140,2025-09-22,52
38,Warehouse_C,194,15,105,2025-09-21,52
38,Warehouse_D,166,22,154,2025-09-18,52
38,Warehouse_E,262,18,90,2025-09-28,52
39,Warehouse_A,220,43,215,2025-09-11,41
39,Warehouse_B,498,45,315,2025-09-08,41
39,Warehouse_C,106,43,344,2025-09-26,41
39,Warehouse_D,349,22,110,2025-08-30,41
39,Warehouse_E,396,18,90,2025-09-16,41
40,Warehouse_A,94,27,162,2025-08-31,46
40,Warehouse_B,20,21,63,2025-09-07,46
40,Warehouse_C,246,38,114,2025-09-24,46
40,Warehouse_D,169,22,154,2025-09-03,46
40,Warehouse_E,358,25,200,2025-09-15,46
41,Warehouse_A,420,47,282,2025-09-04,53
41,Warehouse_B,231,47,141,2025-09-01,53
41,Warehouse_C,497,11,77,2025-09-09,53
41,Warehouse_D,478,21,168,2025-08-29,53
41,Warehouse_E,491,18,54,2025-09-11,53
42,Warehouse_A,308,35,245,2025-09-17,56
42,Warehouse_B,259,20,160,2025-09-17,56
42,Warehouse_C,32,40,320,2025-09-19,56
42,Warehouse_D,318,16,80,2025-09-17,56
42,Warehouse_E,187,46,184,2025-09-17,56
43,Warehouse_A,97,29,174,2025-09-28,32
43,Warehouse_B,170,44,352,2025-08-29,32
43,Warehouse_C,464,16,48,2025-08-31,32
43,Warehouse_D,302,30,120,2025-09-21,32
43,Warehouse_E,370,36,108,2025-09-21,32
44,Warehouse_A,251,38,190,2025-09-21,65
44,Warehouse_B,152,21,105,2025-09-17,65
44,Warehouse_C,426,49,147,2025-09-24,65
44,Warehouse_D,449,32,128,2025-09-06,65
44,Warehouse_E,194,44,220,2025-09-11,65
45,Warehouse_A,467,37,296,2025-09-20,58
45,Warehouse_B,414,22,88,2025-09-25,58
45,Warehouse_C,60,27,135,2025-09-03,58
45,Warehouse_D,388,48,192,2025-09-10,58
45,Warehouse_E,355,19,152,2025-09-07,58
46,Warehouse_A,29,50,300,2025-09-13,17
46,Warehouse_B,31,43,172,2025-09-09,17
46,Warehouse_C,186,27,81,2025-09-15,17
46,Warehouse_D,126,30,90,2025-09-16,17
46,Warehouse_E,14,49,343,2025-08-30,17
47,Warehouse_A,159,15,120,2025-09-02,95
47,Warehouse_B,128,33,264,2025-09-20,95
47,Warehouse_C,483,45,180,2025-09-27,95
47,Warehouse_D,378,22,154,2025-09-15,95
47,Warehouse_E,31,37,185,2025-09-06,95
48,Warehouse_A,191,15,60,2025-09-11,1
48,Warehouse_B,60,18,54,2025-08-29,1
48,Warehouse_C,270,27,81,2025-09-13,1
48,Warehouse_D,198,35,210,2025-09-21,1
48,Warehouse_E,359,46,138,2025-09-19,1
49,Warehouse_A,292,10,60,2025-09-11,29
49,Warehouse_B,456,21,105,2025-09-21,29
49,Warehouse_C,99,35,105,2025-08-30,29
49,Warehouse_D,206,10,80,2025-09-15,29
49,Warehouse_E,436,22,66,2025-08-29,29
50,Warehouse_A,89,33,231,2025-09-02,84
50,Warehouse_B,121,34,272,2025-09-06,84
50,Warehouse_C,480,34,238,2025-08-30,84
50,Warehouse_D,465,19,152,2025-09-19,84
50,Warehouse_E,28,34,136,2025-09-05,84
51,Warehouse_A,265,50,200,2025-09-02,84
51,Warehouse_B,146,37,222,2025-09-26,84
51,Warehouse_C,55,41,205,2025-08-30,84
51,Warehouse_D,319,33,132,2025-09-12,84
51,Warehouse_E,464,38,228,2025-09-14,84
52,Warehouse_A,291,43,301,2025-09-14,60
52,Warehouse_B,322,36,180,2025-09-19,60
52,Warehouse_C,106,24,72,2025-09-06,60
52,Warehouse_D,85,30,150,2025-09-13,60
52,Warehouse_E,345,33,198,2025-09-28,60
53,Warehouse_A,282,11,33,2025-09-14,97
53,Warehouse_B,316,24,192,2025-09-13,97
53,Warehouse_C,202,20,80,2025-09-19,97
53,Warehouse_D,62,29,232,2025-09-26,97
53,Warehouse_E,316,44,352,2025-09-25,97
54,Warehouse_A,374,13,52,2025-09-18,28
54,Warehouse_B,8,41,287,2025-09-03,28
54,Warehouse_C,164,22,132,2025-09-22,28
54,Warehouse_D,364,50,200,2025-09-18,28
54,Warehouse_E,2,21,63,2025-09-15,28
55,Warehouse_A,244,19,76,2025-09-07,2
55,Warehouse_B,280,18,108,2025-09-12,2
55,Warehouse_C,53,26,156,2025-09-09,2
55,Warehouse_D,198,41,246,2025-09-13,2
55,Warehouse_E,40,29,203,2025-09-12,2
56,Warehouse_A,125,45,270,2025-09-19,23
56,Warehouse_B,500,45,315,2025-09-01,23
56,Warehouse_C,407,40,280,2025-09-06,23
56,Warehouse_D,421,42,336,2025-09-08,23
56,Warehouse_E,246,22,154,2025-09-26,23
57,Warehouse_A,432,19,133,2025-09-20,75
57,Warehouse_B,192,33,198,2025-09-01,75
57,Warehouse_C,213,12,96,2025-09-02,75
57,Warehouse_D,69,27,189,2025-09-25,75
57,Warehouse_E,490,18,90,2025-09-15,75
58,Warehouse_A,289,11,44,2025-09-17,34
58,Warehouse_B,307,34,238,2025-09-26,34
58,Warehouse_C,222,37,185,2025-08-29,34
58,Warehouse_D,4,15,90,2025-09-20,34
58,Warehouse_E,280,47,141,2025-08-30,34
59,Warehouse_A,303,12,36,2025-09-06,70
59,Warehouse_B,112,11,88,2025-09-23,70
59,Warehouse_C,479,45,270,2025-09-06,70
59,Warehouse_D,451,42,168,2025-08-30,70
59,Warehouse_E,100,20,160,2025-09-27,70
60,Warehouse_A,409,37,296,2025-08-29,44
60,Warehouse_B,337,38,304,2025-08-30,44
60,Warehouse_C,44,29,174,2025-09-01,44
60,Warehouse_D,391,40,320,2025-09-01,44
60,Warehouse_E,31,22,66,2025-09-24,44
61,Warehouse_A,261,36,252,2025-09-03,24
61,Warehouse_B,43,25,200,2025-09-24,24
61,Warehouse_C,62,27,162,2025-09-05,24
61,Warehouse_D,175,20,100,2025-09-23,24
61,Warehouse_E,355,42,210,2025-09-01,24
62,Warehouse_A,115,44,264,2025-09-22,10
62,Warehouse_B,432,21,84,2025-08-30,10
62,Warehouse_C,85,14,84,2025-09-27,10
62,Warehouse_D,342,32,96,2025-09-14,10
62,Warehouse_E,485,31,186,2025-09-05,10
63,Warehouse_A,283,10,50,2025-09-13,23
63,Warehouse_B,421,46,368,2025-08-31,23
63,Warehouse_C,302,27,81,2025-09-23,23
63,Warehouse_D,397,34,170,2025-09-24,23
63,Warehouse_E,285,43,258,2025-09-10,23
64,Warehouse_A,231,13,65,2025-09-05,38
64,Warehouse_B,477,25,100,2025-09-15,38
64,Warehouse_C,396,42,252,2025-09-15,38
64,Warehouse_D,237,48,144,2025-09-25,38
64,Warehouse_E,212,43,344,2025-09-16,38
65,Warehouse_A,353,16,112,2025-09-25,1
65,Warehouse_B,361,27,162,2025-08-31,1
65,Warehouse_C,194,18,72,2025-09-23,1
65,Warehouse_D,44,26,156,2025-09-07,1
65,Warehouse_E,40,16,128,2025-08-31,1
66,Warehouse_A,294,32,128,2025-09-15,48
66,Warehouse_B,403,35,175,2025-09-22,48
66,Warehouse_C,102,11,66,2025-09-02,48
66,Warehouse_D,225,38,152,2025-09-09,48
66,Warehouse_E,447,30,150,2025-09-20,48
67,Warehouse_A,243,31,155,2025-08-29,55
67,Warehouse_B,216,43,344,2025-09-24,55
67,Warehouse_C,451,30,150,2025-09-23,55
67,Warehouse_D,239,41,123,2025-08-31,55
67,Warehouse_E,495,45,225,2025-09-08,55
68,Warehouse_A,160,14,84,2025-09-11,20
68,Warehouse_B,343,39,234,2025-09-27,20
68,Warehouse_C,8,14,98,2025-09-20,20
68,Warehouse_D,279,27,135,2025-09-15,20
68,Warehouse_E,150,50,350,2025-09-06,20
69,Warehouse_A,18,24,120,2025-09-16,10
69,Warehouse_B,224,37,111,2025-09-26,10
69,Warehouse_C,177,36,180,2025-08-31,10
69,Warehouse_D,28,30,210,2025-09-13,10
69,Warehouse_E,108,29,116,2025-09-23,10
70,Warehouse_A,355,21,105,2025-08-30,83
70,Warehouse_B,96,44,264,2025-08-30,83
70,Warehouse_C,464,17,136,2025-09-12,83
70,Warehouse_D,63,38,152,2025-09-25,83
70,Warehouse_E,128,24,72,2025-09-09,83
71,Warehouse_A,420,12,96,2025-09-23,71
71,Warehouse_B,25,35,245,2025-09-26,71
71,Warehouse_C,283,23,138,2025-09-09,71
71,Warehouse_D,61,18,90,2025-09-12,71
71,Warehouse_E,319,39,117,2025-09-07,71
72,Warehouse_A,125,41,164,2025-09-11,23
72,Warehouse_B,278,41,328,2025-09-24,23
72,Warehouse_C,128,50,150,2025-09-04,23
72,Warehouse_D,355,12,48,2025-09-19,23
72,Warehouse_E,500,25,100,2025-09-20,23
73,Warehouse_A,3,31,93,2025-09-06,64
73,Warehouse_B,399,27,189,2025-09-26,64
73,Warehouse_C,50,25,175,2025-09-27,64
73,Warehouse_D,383,44,132,2025-09-08,64
73,Warehouse_E,284,15,60,2025-09-13,64
74,Warehouse_A,489,46,276,2025-09-07,87
74,Warehouse_B,328,19,95,2025-08-29,87
74,Warehouse_C,417,50,150,2025-08-31,87
74,Warehouse_D,229,26,104,2025-08-29,87
74,Warehouse_E,66,36,180,2025-09-20,87
75,Warehouse_A,286,44,220,2025-09-25,52
75,Warehouse_B,435,13,39,2025-09-28,52
75,Warehouse_C,451,18,54,2025-09-04,52
75,Warehouse_D,333,17,68,2025-09-07,52
75,Warehouse_E,103,27,81,2025-09-14,52
76,Warehouse_A,258,14,70,2025-08-29,25
76,Warehouse_B,91,37,296,2025-09-04,25
76,Warehouse_C,485,35,140,2025-09-23,25
76,Warehouse_D,472,41,205,2025-09-10,25
76,Warehouse_E,96,26,182,2025-09-13,25
77,Warehouse_A,164,33,264,2025-09-21,90
77,Warehouse_B,488,30,240,2025-09-18,90
77,Warehouse_C,455,49,294,2025-09-11,90
77,Warehouse_D,396,38,304,2025-09-06,90
77,Warehouse_E,373,47,329,2025-09-15,90
78,Warehouse_A,124,20,80,2025-09-12,90
78,Warehouse_B,430,37,222,2025-09-01,90
78,Warehouse_C,153,21,147,2025-08-29,90
78,Warehouse_D,233,26,208,2025-09-24,90
78,Warehouse_E,483,19,95,2025-09-19,90
79,Warehouse_A,45,38,190,2025-09-22,96
79,Warehouse_B,469,48,384,2025-09-03,96
79,Warehouse_C,217,40,240,2025-09-17,96
79,Warehouse_D,112,36,144,2025-09-01,96
79,Warehouse_E,61,10,40,2025-08-30,96
80,Warehouse_A,248,24,192,2025-09-18,71
80,Warehouse_B,282,14,42,2025-09-14,71
80,Warehouse_C,412,47,141,2025-09-24,71
80,Warehouse_D,150,41,205,2025-09-15,71
80,Warehouse_E,244,50,150,2025-08-30,71
81,Warehouse_A,358,40,320,2025-09-13,56
81,Warehouse_B,18,21,63,2025-09-20,56
81,Warehouse_C,246,26,130,2025-09-01,56
81,Warehouse_D,161,12,36,2025-09-08,56
81,Warehouse_E,139,45,360,2025-09-04,56
82,Warehouse_A,71,23,115,2025-09-07,81
82,Warehouse_B,228,48,336,2025-09-21,81
82,Warehouse_C,62,44,220,2025-09-18,81
82,Warehouse_D,340,38,190,2025-09-19,81
82,Warehouse_E,96,15,90,2025-09-27,81
83,Warehouse_A,484,37,222,2025-09-03,21
83,Warehouse_B,284,22,132,2025-09-13,21
83,Warehouse_C,435,37,111,2025-09-07,21
83,Warehouse_D,200,46,276,2025-09-12,21
83,Warehouse_E,458,39,273,2025-09-09,21
84,Warehouse_A,368,18,126,2025-09-16,42
84,Warehouse_B,123,13,91,2025-09-23,42
84,Warehouse_C,164,24,192,2025-09-09,42
84,Warehouse_D,405,12,36,2025-09-17,42
84,Warehouse_E,136,24,72,2025-09-16,42
85,Warehouse_A,419,38,304,2025-08-30,69
85,Warehouse_B,3,27,81,2025-09-20,69
85,Warehouse_C,439,46,184,2025-09-23,69
85,Warehouse_D,444,20,100,2025-09-27,69
85,Warehouse_E,440,37,222,2025-09-06,69
86,Warehouse_A,215,11,66,2025-09-20,76
86,Warehouse_B,22,34,170,2025-09-16,76
86,Warehouse_C,82,39,273,2025-09-11,76
86,Warehouse_D,432,37,222,2025-09-22,76
86,Warehouse_E,264,10,30,2025-09-22,76
87,Warehouse_A,100,16,64,2025-09-01,49
87,Warehouse_B,394,40,200,2025-09-12,49
87,Warehouse_C,352,39,273,2025-09-27,49
87,Warehouse_D,236,38,228,2025-09-14,49
87,Warehouse_E,225,32,224,2025-09-21,49
88,Warehouse_A,500,17,68,2025-09-07,73
88,Warehouse_B,349,50,150,2025-09-24,73
88,Warehouse_C,301,41,287,2025-09-17,73
88,Warehouse_D,488,31,124,2025-09-10,73
88,Warehouse_E,218,26,182,2025-09-07,73
89,Warehouse_A,315,23,161,2025-09-11,57
89,Warehouse_B,258,50,300,2025-09-25,57
89,Warehouse_C,447,17,68,2025-09-10,57
89,Warehouse_D,183,30,150,2025-09-21,57
89,Warehouse_E,146,13,65,2025-09-20,57
90,Warehouse_A,451,15,90,2025-09-02,59
90,Warehouse_B,337,21,105,2025-08-29,59
90,Warehouse_C,184,45,135,2025-09-03,59
90,Warehouse_D,416,42,126,2025-09-04,59
90,Warehouse_E,253,42,252,2025-09-09,59
91,Warehouse_A,248,40,320,2025-09-24,53
91,Warehouse_B,386,45,315,2025-08-29,53
91,Warehouse_C,233,24,144,2025-09-28,53
91,Warehouse_D,186,16,48,2025-09-28,53
91,Warehouse_E,345,22,110,2025-09-22,53
92,Warehouse_A,182,45,180,2025-08-29,34
92,Warehouse_B,314,49,245,2025-09-24,34
92,Warehouse_C,165,42,126,2025-09-27,34
92,Warehouse_D,13,46,276,2025-09-22,34
92,Warehouse_E,43,43,129,2025-09-04,34
93,Warehouse_A,384,12,84,2025-09-11,6
93,Warehouse_B,370,50,300,2025-09-21,6
93,Warehouse_C,101,14,84,2025-09-16,6
93,Warehouse_D,408,32,224,2025-09-21,6
93,Warehouse_E,499,38,152,2025-09-03,6
94,Warehouse_A,456,30,90,2025-09-26,70
94,Warehouse_B,16,23,161,2025-09-27,70
94,Warehouse_C,5,35,105,2025-09-06,70
94,Warehouse_D,305,31,217,2025-09-04,70
94,Warehouse_E,348,40,160,2025-09-28,70
95,Warehouse_A,63,48,192,2025-09-02,31
95,Warehouse_B,153,27,81,2025-08-29,31
95,Warehouse_C,418,45,315,2025-09-23,31
95,Warehouse_D,122,27,189,2025-09-23,31
95,Warehouse_E,77,21,105,2025-09-14,31
96,Warehouse_A,42,32,256,2025-09-18,100
96,Warehouse_B,358,17,85,2025-09-26,100
96,Warehouse_C,172,50,200,2025-09-12,100
96,Warehouse_D,444,33,165,2025-09-11,100
96,Warehouse_E,390,47,235,2025-09-09,100
97,Warehouse_A,267,38,304,2025-09-26,56
97,Warehouse_B,45,49,294,2025-09-08,56
97,Warehouse_C,484,48,144,2025-09-24,56
97,Warehouse_D,60,24,168,2025-09-15,56
97,Warehouse_E,277,35,105,2025-09-08,56
98,Warehouse_A,452,16,128,2025-08-29,7
98,Warehouse_B,356,44,176,2025-09-10,7
98,Warehouse_C,156,49,294,2025-09-04,7
98,Warehouse_D,164,19,152,2025-09-13,7
98,Warehouse_E,492,16,64,2025-09-10,7
99,Warehouse_A,345,10,50,2025-09-23,39
99,Warehouse_B,146,11,77,2025-09-02,39
99,Warehouse_C,89,41,205,2025-09-16,39
99,Warehouse_D,53,49,343,2025-09-25,39
99,Warehouse_E,217,29,145,2025-09-21,39
100,Warehouse_A,105,50,300,2025-09-22,24
100,Warehouse_B,12,48,144,2025-09-27,24
100,Warehouse_C,302,12,72,2025-09-23,24
100,Warehouse_D,316,48,384,2025-09-03,24
100,Warehouse_E,42,24,168,2025-09-27,24
101,Warehouse_A,132,16,48,2025-09-08,42
101,Warehouse_B,457,27,81,2025-09-16,42
101,Warehouse_C,118,23,69,2025-09-20,42
101,Warehouse_D,238,35,210,2025-09-22,42
101,Warehouse_E,10,13,104,2025-09-09,42
102,Warehouse_A,53,35,175,2025-08-30,28
102,Warehouse_B,195,14,98,2025-09-05,28
102,Warehouse_C,390,14,70,2025-09-11,28
102,Warehouse_D,355,32,128,2025-08-31,28
102,Warehouse_E,19,43,301,2025-09-15,28
103,Warehouse_A,446,39,195,2025-09-16,82
103,Warehouse_B,124,14,112,2025-09-10,82
103,Warehouse_C,149,31,124,2025-09-02,82
103,Warehouse_D,330,22,176,2025-09-15,82
103,Warehouse_E,65,16,112,2025-09-28,82
104,Warehouse_A,97,36,108,2025-09-06,22
104,Warehouse_B,198,31,155,2025-09-21,22
104,Warehouse_C,260,28,140,2025-09-25,22
104,Warehouse_D,490,18,108,2025-09-21,22
104,Warehouse_E,83,36,144,2025-09-21,22
105,Warehouse_A,244,50,400,2025-09-15,44
105,Warehouse_B,104,27,135,2025-09-10,44
105,Warehouse_C,199,20,120,2025-09-22,44
105,Warehouse_D,457,33,264,2025-09-06,44
105,Warehouse_E,497,23,115,2025-09-03,44
106,Warehouse_A,64,20,120,2025-09-06,99
106,Warehouse_B,234,26,182,2025-09-01,99
106,Warehouse_C,19,41,246,2025-09-16,99
106,Warehouse_D,211,12,84,2025-09-04,99
106,Warehouse_E,208,30,150,2025-09-17,99
107,Warehouse_A,363,50,350,2025-09-23,59
107,Warehouse_B,326,50,250,2025-09-20,59
107,Warehouse_C,145,46,230,2025-09-05,59
107,Warehouse_D,452,14,84,2025-09-15,59
107,Warehouse_E,152,20,100,2025-09-04,59
108,Warehouse_A,301,25,100,2025-09-13,89
108,Warehouse_B,122,45,225,2025-09-11,89
108,Warehouse_C,457,44,264,2025-09-15,89
108,Warehouse_D,38,10,30,2025-09-07,89
108,Warehouse_E,469,30,210,2025-09-20,89
109,Warehouse_A,428,44,176,2025-08-29,62
109,Warehouse_B,454,40,120,2025-09-04,62
109,Warehouse_C,214,48,144,2025-08-31,62
109,Warehouse_D,283,39,312,2025-09-25,62
109,Warehouse_E,490,23,69,2025-09-05,62
110,Warehouse_A,314,39,156,2025-08-30,42
110,Warehouse_B,495,42,210,2025-09-12,42
110,Warehouse_C,474,13,52,2025-09-02,42
110,Warehouse_D,410,10,70,2025-09-23,42
110,Warehouse_E,24,35,175,2025-09-16,42
111,Warehouse_A,474,11,44,2025-09-12,96
111,Warehouse_B,460,43,344,2025-09-08,96
111,Warehouse_C,100,36,252,2025-09-17,96
111,Warehouse_D,248,44,264,2025-09-27,96
111,Warehouse_E,371,15,75,2025-09-02,96
112,Warehouse_A,386,43,129,2025-09-20,44
112,Warehouse_B,125,49,196,2025-09-04,44
