order_id,carrier,tracking_number,shipping_method,shipping_cost,ship_date,estimated_delivery,actual_delivery,shipping_status,weight_kg
29,DHL,TN826514825,express,0.0,2024-11-08,2024-11-12,2024-11-14,shipped,15.37
31,FedEx,TN799513429,two_day,0.0,2024-06-26,2024-07-03,2024-07-05,delivered,15.87
32,FedEx,TN321395784,standard,0.0,2025-08-20,2025-08-23,2025-08-24,shipped,3.08
33,DHL,TN605809468,overnight,0.0,2023-12-14,2023-12-19,2023-12-19,shipped,7.25
34,USPS,TN965297889,free,6.39,2025-09-19,2025-09-26,,pending,8.41
35,UPS,TN519379206,standard,0.0,2024-04-02,2024-04-05,2024-04-04,shipped,14.1
37,DHL,TN278579469,free,0.0,2024-06-02,2024-06-09,2024-06-09,in_transit,3.21
38,FedEx,TN909051452,two_day,23.88,2024-03-09,2024-03-14,2024-03-13,returned,19.48
39,Amazon Logistics,TN150702194,free,0.0,2023-11-25,2023-11-29,2023-11-30,returned,17.57
40,USPS,TN870309014,standard,0.0,2025-05-30,2025-06-03,2025-06-04,delivered,2.19
41,FedEx,TN263123488,free,0.0,2023-10-20,2023-10-27,2023-10-26,shipped,17.85
42,FedEx,TN903241566,overnight,10.55,2025-09-01,2025-09-03,2025-09-05,shipped,5.22
44,USPS,TN379034529,express,0.0,2025-04-27,2025-05-01,2025-04-30,shipped,17.83
45,FedEx,TN733990373,standard,0.0,2025-04-18,2025-04-23,2025-04-25,in_transit,18.9
46,FedEx,TN200169416,standard,0.0,2023-10-24,2023-10-29,2023-10-29,delivered,4.0
47,UPS,TN895511990,two_day,0.0,2024-01-04,2024-01-07,2024-01-06,pending,11.81
48,UPS,TN215035829,express,0.0,2025-01-12,2025-01-16,2025-01-18,shipped,11.21
49,UPS,TN154816204,two_day,0.0,2024-09-03,2024-09-10,,pending,17.62
51,FedEx,TN245001632,overnight,0.0,2025-01-29,2025-02-03,2025-02-03,in_transit,11.93
53,FedEx,TN789862428,overnight,6.15,2024-11-15,2024-11-22,2024-11-23,in_transit,15.56
54,USPS,TN270469120,free,0.0,2025-05-18,2025-05-22,2025-05-24,delivered,13.34
55,UPS,TN414119148,two_day,4.55,2024-08-01,2024-08-06,2024-08-08,delivered,1.47
56,USPS,TN176172035,two_day,0.0,2024-09-24,2024-09-28,2024-09-28,pending,18.7
57,Amazon Logistics,TN575979855,two_day,22.24,2024-12-07,2024-12-12,2024-12-13,pending,14.31
60,FedEx,TN396389807,free,0.0,2024-11-27,2024-12-02,2024-12-04,in_transit,18.19
62,FedEx,TN368364066,two_day,0.0,2025-01-17,2025-01-20,2025-01-20,delivered,15.74
63,Amazon Logistics,TN481269035,free,0.0,2025-03-04,2025-03-08,2025-03-08,returned,9.54
64,UPS,TN372145996,standard,6.53,2024-09-28,2024-10-05,2024-10-04,shipped,19.42
65,USPS,TN826121019,express,0.0,2025-02-16,2025-02-18,2025-02-20,pending,12.5
66,DHL,TN159415610,overnight,0.0,2024-06-12,2024-06-14,2024-06-15,pending,8.51
67,UPS,TN138273793,free,0.0,2025-06-30,2025-07-02,,returned,8.44
68,DHL,TN516304821,standard,0.0,2024-09-02,2024-09-09,2024-09-11,pending,10.84
69,DHL,TN374369624,overnight,0.0,2025-09-18,2025-09-24,2025-09-25,shipped,7.97
70,UPS,TN794921332,two_day,0.0,2024-07-02,2024-07-05,2024-07-07,shipped,10.78
71,USPS,TN980946599,overnight,0.0,2024-05-15,2024-05-17,2024-05-17,shipped,12.2
72,DHL,TN985744532,standard,1.1,2025-04-15,2025-04-22,2025-04-22,shipped,3.49
73,USPS,TN431657121,express,0.0,2024-05-27,2024-06-03,2024-06-04,in_transit,4.31
74,UPS,TN480627413,overnight,0.0,2025-04-06,2025-04-13,2025-04-12,shipped,2.62
75,UPS,TN139891452,standard,0.0,2025-08-23,2025-08-30,2025-08-31,shipped,5.37
76,DHL,TN396515895,standard,0.0,2025-01-05,2025-01-07,2025-01-09,shipped,19.28
77,FedEx,TN786700882,standard,0.0,2025-04-11,2025-04-14,2025-04-13,shipped,6.67
79,USPS,TN662780531,free,0.0,2023-10-07,2023-10-12,2023-10-11,pending,14.97
81,DHL,TN539725609,express,0.0,2024-01-31,2024-02-06,2024-02-05,returned,15.76
82,UPS,TN280717857,overnight,0.0,2025-02-28,2025-03-03,2025-03-05,in_transit,1.88
83,USPS,TN894494871,standard,0.0,2023-11-12,2023-11-14,2023-11-16,shipped,12.96
85,USPS,TN331329358,free,0.0,2024-03-15,2024-03-17,2024-03-19,pending,11.34
86,UPS,TN671455944,free,0.0,2024-06-08,2024-06-13,2024-06-12,in_transit,12.42
87,FedEx,TN295959463,express,0.0,2025-05-20,2025-05-24,2025-05-25,in_transit,17.25
88,FedEx,TN856047086,express,0.0,2024-12-21,2024-12-23,2024-12-23,returned,8.7
89,FedEx,TN986474588,free,19.32,2024-09-13,2024-09-20,2024-09-20,returned,1.75
92,Amazon Logistics,TN356696166,overnight,0.0,2025-02-15,2025-02-20,2025-02-20,returned,3.18
93,UPS,TN357929760,express,0.0,2025-04-08,2025-04-11,2025-04-13,delivered,9.35
94,Amazon Logistics,TN341227881,overnight,0.0,2025-04-22,2025-04-24,2025-04-25,delivered,3.49
96,UPS,TN731179723,two_day,10.94,2023-11-07,2023-11-09,2023-11-08,delivered,6.02
97,USPS,TN848131099,standard,0.0,2025-07-08,2025-07-13,2025-07-14,pending,9.4
98,USPS,TN262223969,two_day,15.21,2023-10-20,2023-10-27,2023-10-26,pending,17.91
99,USPS,TN955456729,express,4.19,2024-01-10,2024-01-13,2024-01-15,shipped,0.75
100,Amazon Logistics,TN411617204,overnight,0.0,2025-01-22,2025-01-24,2025-01-23,in_transit,10.29
101,USPS,TN451346025,express,7.17,2024-09-03,2024-09-05,2024-09-06,delivered,1.46
102,FedEx,TN274556296,overnight,0.0,2025-07-05,2025-07-11,2025-07-11,pending,2.95
103,USPS,TN394562210,overnight,16.32,2024-09-14,2024-09-20,2024-09-20,pending,13.1
104,FedEx,TN120056193,free,0.0,2023-11-06,2023-11-10,,in_transit,1.71
105,Amazon Logistics,TN212874302,standard,12.14,2025-04-20,2025-04-27,2025-04-29,delivered,3.06
107,UPS,TN620758078,standard,0.0,2024-07-30,2024-08-04,2024-08-04,returned,10.84
108,FedEx,TN132790391,express,0.0,2023-10-20,2023-10-22,2023-10-23,delivered,15.38
109,USPS,TN436454793,overnight,0.0,2025-03-05,2025-03-08,2025-03-09,in_transit,3.75
110,USPS,TN750974356,express,0.0,2025-01-19,2025-01-23,2025-01-23,shipped,7.07
111,Amazon Logistics,TN629523612,free,20.01,2025-09-02,2025-09-07,2025-09-07,shipped,1.02
112,FedEx,TN390860182,free,0.0,2025-06-13,2025-06-16,2025-06-15,delivered,19.78
114,DHL,TN993599967,express,0.0,2024-06-23,2024-06-29,2024-06-29,returned,17.82
115,Amazon Logistics,TN107009792,express,0.0,2024-05-29,2024-06-01,2024-05-31,delivered,2.04
116,UPS,TN441439093,free,0.0,2025-03-04,2025-03-09,2025-03-11,in_transit,19.26
117,Amazon Logistics,TN295115612,two_day,0.0,2024-02-04,2024-02-08,2024-02-10,pending,19.47
118,USPS,TN360496154,free,0.0,2024-09-03,2024-09-10,2024-09-09,returned,8.64
119,UPS,TN197892907,free,0.0,2024-08-24,2024-08-26,2024-08-27,shipped,8.42
120,FedEx,TN365341534,free,3.91,2025-09-24,2025-09-29,2025-09-29,shipped,10.2
121,UPS,TN130164957,free,0.0,2024-03-29,2024-04-04,2024-04-05,pending,3.87
122,FedEx,TN276324431,two_day,0.0,2024-01-26,2024-01-29,2024-01-28,returned,7.89
123,Amazon Logistics,TN159263622,two_day,1.11,2025-02-10,2025-02-15,2025-02-14,returned,19.03
124,Amazon Logistics,TN896018924,two_day,0.0,2024-11-17,2024-11-23,2024-11-22,shipped,11.77
125,DHL,TN776404387,overnight,0.0,2024-07-23,2024-07-27,2024-07-29,shipped,4.48
127,UPS,TN257388570,overnight,0.0,2024-10-08,2024-10-15,,in_transit,15.98
129,FedEx,TN560651329,overnight,22.68,2024-05-05,2024-05-10,2024-05-12,returned,4.18
131,UPS,TN836611157,express,0.0,2024-09-23,2024-09-28,2024-09-30,in_transit,0.76
132,USPS,TN570119035,overnight,0.0,2025-08-16,2025-08-22,2025-08-22,shipped,12.8
133,FedEx,TN599726244,free,0.0,2024-09-16,2024-09-18,2024-09-18,delivered,4.88
134,FedEx,TN812256650,standard,0.0,2025-01-07,2025-01-09,2025-01-09,delivered,7.67
135,FedEx,TN776672529,standard,0.0,2024-11-16,2024-11-19,2024-11-19,delivered,16.02
136,USPS,TN741227067,express,8.69,2024-04-30,2024-05-06,2024-05-08,in_transit,0.62
137,FedEx,TN545656159,overnight,0.0,2025-03-06,2025-03-13,2025-03-13,shipped,3.96
138,UPS,TN125276205,overnight,0.0,2024-07-24,2024-07-28,,in_transit,2.85
140,USPS,TN984960646,two_day,0.0,2024-05-04,2024-05-10,2024-05-12,in_transit,9.26
141,UPS,TN541799612,two_day,0.3,2025-02-10,2025-02-12,2025-02-13,pending,9.03
142,Amazon Logistics,TN177962137,standard,0.0,2024-05-16,2024-05-19,2024-05-18,shipped,6.96
144,USPS,TN818803526,express,19.17,2023-10-06,2023-10-11,2023-10-11,shipped,13.32
145,DHL,TN693986320,standard,0.0,2024-11-01,2024-11-07,2024-11-07,pending,5.94
146,Amazon Logistics,TN631873027,standard,0.0,2024-03-27,2024-03-29,2024-03-29,shipped,8.52
148,Amazon Logistics,TN872924219,standard,20.24,2025-03-11,2025-03-15,2025-03-17,pending,6.9
150,Amazon Logistics,TN871145889,free,0.0,2025-04-04,2025-04-07,2025-04-09,pending,1.97
151,USPS,TN687184359,standard,6.95,2025-09-21,2025-09-24,2025-09-26,delivered,7.34
152,USPS,TN354876381,overnight,0.0,2025-02-18,2025-02-20,,shipped,12.15
154,UPS,TN364378894,standard,0.0,2025-06-21,2025-06-23,2025-06-25,returned,19.81
155,USPS,TN983576617,standard,21.45,2024-05-04,2024-05-10,,in_transit,13.53
156,UPS,TN810552547,standard,0.0,2024-01-03,2024-01-09,2024-01-09,pending,4.55
157,FedEx,TN916901981,free,0.0,2025-01-31,2025-02-07,2025-02-09,pending,7.0
158,USPS,TN355945864,standard,21.43,2024-08-04,2024-08-11,2024-08-10,delivered,17.29
160,UPS,TN456804400,standard,0.0,2024-02-26,2024-02-28,2024-03-01,in_transit,7.24
161,Amazon Logistics,TN907005692,standard,0.0,2024-03-04,2024-03-10,2024-03-09,shipped,2.89
162,Amazon Logistics,TN368352519,overnight,0.0,2024-11-07,2024-11-14,2024-11-14,returned,5.1
163,FedEx,TN604337276,overnight,0.85,2024-10-15,2024-10-17,2024-10-17,in_transit,1.86
164,FedEx,TN820024178,two_day,0.0,2024-02-01,2024-02-03,,delivered,17.96
166,USPS,TN186897681,free,0.0,2024-09-02,2024-09-06,,returned,1.94
167,DHL,TN144473439,free,0.0,2024-10-29,2024-11-03,2024-11-05,shipped,15.0
168,USPS,TN118932267,express,0.0,2025-08-31,2025-09-07,2025-09-09,pending,16.68
169,Amazon Logistics,TN550662116,free,0.0,2025-07-23,2025-07-29,,shipped,4.5
170,USPS,TN869109485,free,6.26,2025-04-17,2025-04-20,2025-04-19,returned,12.65
171,DHL,TN861578979,two_day,0.0,2024-06-17,2024-06-22,2024-06-21,shipped,10.02
172,DHL,TN915610004,free,0.0,2024-12-11,2024-12-13,2024-12-13,delivered,9.6
173,UPS,TN231261129,two_day,0.0,2025-07-14,2025-07-16,2025-07-16,returned,7.48
176,FedEx,TN638615729,free,2.36,2024-07-19,2024-07-22,2024-07-24,returned,11.76
177,DHL,TN180515302,two_day,0.0,2024-07-27,2024-07-31,2024-08-01,delivered,14.02
178,Amazon Logistics,TN762883164,two_day,0.0,2025-09-16,2025-09-21,2025-09-21,delivered,8.56
179,USPS,TN985452477,two_day,22.22,2025-09-17,2025-09-22,2025-09-23,returned,4.92
180,UPS,TN177333405,express,0.0,2024-08-26,2024-08-28,2024-08-29,delivered,1.88
181,UPS,TN936872571,free,0.0,2024-02-23,2024-02-25,2024-02-27,returned,16.87
182,UPS,TN996414754,free,0.0,2024-09-09,2024-09-11,2024-09-10,returned,13.4
183,DHL,TN762964969,overnight,0.0,2023-10-04,2023-10-10,2023-10-11,delivered,16.27
184,USPS,TN791823025,two_day,0.0,2024-10-05,2024-10-07,,in_transit,14.95
185,Amazon Logistics,TN416545058,free,0.0,2024-01-03,2024-01-05,,pending,11.91
186,USPS,TN840807270,two_day,0.0,2024-06-08,2024-06-15,2024-06-17,shipped,14.81
187,FedEx,TN723765848,two_day,0.0,2025-07-19,2025-07-25,2025-07-27,delivered,9.65
188,UPS,TN759697733,overnight,0.0,2024-06-15,2024-06-21,2024-06-21,in_transit,15.82
189,Amazon Logistics,TN813868702,free,0.0,2024-02-25,2024-03-01,2024-03-03,shipped,19.2
190,DHL,TN342306382,standard,13.77,2024-09-03,2024-09-06,2024-09-08,pending,5.04
191,DHL,TN975016480,two_day,0.0,2024-04-27,2024-05-01,2024-05-01,pending,4.11
194,Amazon Logistics,TN990536576,express,0.0,2025-04-23,2025-04-25,2025-04-25,pending,2.76
195,Amazon Logistics,TN201083004,express,0.0,2024-07-09,2024-07-15,2024-07-16,pending,16.95
196,DHL,TN536164552,express,0.0,2024-06-12,2024-06-18,,delivered,17.63
197,Amazon Logistics,TN399025977,overnight,0.0,2025-04-01,2025-04-06,2025-04-08,in_transit,19.49
198,USPS,TN284689427,free,0.0,2024-11-03,2024-11-05,2024-11-07,pending,10.09
199,UPS,TN392838387,express,6.24,2024-09-20,2024-09-27,2024-09-28,shipped,11.08
201,UPS,TN729085211,two_day,0.0,2024-09-18,2024-09-21,2024-09-22,in_transit,15.45
202,USPS,TN776693487,standard,4.44,2025-07-23,2025-07-28,2025-07-30,delivered,3.04
203,UPS,TN741661561,overnight,0.0,2025-08-08,2025-08-15,2025-08-17,returned,12.5
204,Amazon Logistics,TN731474192,standard,0.0,2024-03-25,2024-03-31,2024-04-02,pending,16.3
205,USPS,TN178064037,two_day,0.0,2024-11-10,2024-11-15,2024-11-15,shipped,3.33
206,USPS,TN864148523,free,21.85,2024-03-30,2024-04-01,2024-04-02,shipped,15.54
207,Amazon Logistics,TN105266146,free,15.8,2023-11-12,2023-11-15,2023-11-14,shipped,5.61
208,USPS,TN592784590,two_day,0.0,2025-01-16,2025-01-19,2025-01-20,pending,0.73
211,USPS,TN376507021,two_day,0.0,2025-06-24,2025-06-27,2025-06-29,shipped,7.33
213,Amazon Logistics,TN804183952,standard,0.0,2023-10-17,2023-10-22,2023-10-22,shipped,14.08
214,DHL,TN314832224,express,0.0,2025-06-26,2025-07-02,2025-07-01,pending,1.32
215,FedEx,TN608552233,standard,0.0,2024-03-29,2024-03-31,2024-03-31,delivered,12.7
216,DHL,TN453901957,overnight,3.77,2024-10-11,2024-10-16,2024-10-18,shipped,18.27
217,USPS,TN784833543,overnight,0.0,2024-01-11,2024-01-13,2024-01-12,shipped,11.75
218,UPS,TN170304879,two_day,1.49,2023-12-01,2023-12-08,2023-12-08,returned,17.11
219,FedEx,TN976197918,two_day,0.0,2024-03-30,2024-04-02,2024-04-02,in_transit,7.69
220,FedEx,TN350753627,overnight,10.98,2024-03-29,2024-04-01,2024-03-31,pending,5.68
221,FedEx,TN658709101,standard,21.3,2023-11-21,2023-11-24,2023-11-26,delivered,7.68
222,FedEx,TN864657754,free,10.13,2025-04-28,2025-05-02,2025-05-01,shipped,6.92
224,Amazon Logistics,TN980877563,free,0.0,2025-07-11,2025-07-18,2025-07-20,in_transit,19.24
225,FedEx,TN904126340,overnight,9.7,2025-08-26,2025-08-28,2025-08-28,shipped,2.02
226,USPS,TN349935188,standard,0.0,2024-04-12,2024-04-15,2024-04-17,delivered,16.05
227,FedEx,TN835394160,overnight,0.0,2024-02-21,2024-02-25,2024-02-25,delivered,9.67
228,DHL,TN751343383,two_day,0.0,2025-07-31,2025-08-07,2025-08-08,pending,14.55
229,USPS,TN337549758,free,0.0,2024-01-01,2024-01-07,2024-01-08,shipped,8.26
230,Amazon Logistics,TN688380702,standard,0.0,2024-05-16,2024-05-20,2024-05-19,delivered,15.12
231,Amazon Logistics,TN138906134,overnight,0.0,2025-04-01,2025-04-04,2025-04-03,pending,14.35
232,USPS,TN167596064,overnight,18.9,2025-01-14,2025-01-21,2025-01-20,pending,2.4
233,USPS,TN967643153,free,0.76,2025-01-23,2025-01-25,2025-01-27,shipped,1.61
234,USPS,TN514554117,standard,0.0,2024-03-25,2024-03-28,2024-03-28,shipped,17.88
235,Amazon Logistics,TN878694626,standard,0.0,2025-07-25,2025-08-01,2025-07-31,shipped,12.21
236,UPS,TN426462624,two_day,0.0,2024-03-17,2024-03-21,2024-03-22,delivered,3.2
237,UPS,TN941720315,express,0.0,2025-04-23,2025-04-27,2025-04-27,returned,3.33
239,DHL,TN435745422,overnight,4.22,2024-01-26,2024-01-31,2024-02-02,shipped,9.13
242,FedEx,TN518701849,overnight,0.0,2023-11-04,2023-11-10,,in_transit,11.14
245,FedEx,TN797219930,free,0.0,2025-01-13,2025-01-18,2025-01-19,pending,6.93
247,UPS,TN114037371,two_day,0.0,2024-04-26,2024-04-28,2024-04-30,returned,4.62
248,UPS,TN573544496,express,6.33,2025-02-27,2025-03-01,2025-02-28,returned,8.5
249,USPS,TN232314255,express,0.0,2025-07-19,2025-07-21,2025-07-21,shipped,14.28
250,UPS,TN262628091,standard,0.0,2024-05-01,2024-05-07,2024-05-09,returned,19.26
251,Amazon Logistics,TN151923866,overnight,0.0,2024-08-13,2024-08-16,2024-08-17,in_transit,16.24
252,DHL,TN968521449,free,0.0,2025-05-01,2025-05-07,2025-05-06,in_transit,6.52
253,DHL,TN400962798,express,0.0,2024-02-10,2024-02-15,2024-02-15,in_transit,18.09
254,Amazon Logistics,TN816341449,express,0.0,2024-09-13,2024-09-20,2024-09-19,delivered,17.12
255,Amazon Logistics,TN876331456,standard,16.19,2024-08-17,2024-08-23,2024-08-23,delivered,1.6
256,FedEx,TN750663772,overnight,0.0,2025-04-22,2025-04-27,2025-04-28,delivered,16.22
257,UPS,TN614739138,free,0.0,2024-09-21,2024-09-27,2024-09-28,in_transit,13.07
258,UPS,TN918001314,overnight,0.0,2024-01-24,2024-01-26,2024-01-28,pending,5.16
259,DHL,TN576541388,free,0.0,2024-01-05,2024-01-07,2024-01-08,delivered,18.1
260,USPS,TN687465854,overnight,0.0,2023-12-02,2023-12-04,2023-12-06,shipped,5.2
261,DHL,TN425623051,free,0.0,2024-04-03,2024-04-09,,in_transit,5.24
262,UPS,TN421235781,two_day,0.0,2024-06-25,2024-06-28,,in_transit,17.01
263,USPS,TN575834873,standard,0.0,2024-08-15,2024-08-20,2024-08-21,pending,12.21
265,Amazon Logistics,TN766012438,free,0.0,2024-11-13,2024-11-19,2024-11-18,delivered,8.94
266,DHL,TN892708495,two_day,0.0,2023-10-30,2023-11-06,2023-11-07,returned,13.14
267,USPS,TN762848459,standard,1.75,2024-11-06,2024-11-12,2024-11-11,delivered,1.82
268,Amazon Logistics,TN808123810,overnight,0.0,2024-07-29,2024-08-01,2024-08-02,shipped,2.18
269,DHL,TN709743726,express,4.16,2025-07-23,2025-07-28,2025-07-30,in_transit,19.67
270,FedEx,TN943302061,standard,0.0,2024-04-02,2024-04-04,2024-04-05,returned,9.49
271,USPS,TN524281414,standard,0.0,2024-12-05,2024-12-10,2024-12-09,delivered,15.03
272,USPS,TN486607596,overnight,0.0,2023-10-01,2023-10-07,2023-10-06,in_transit,10.57
273,USPS,TN891577701,free,0.0,2024-09-18,2024-09-25,2024-09-27,in_transit,3.17
274,USPS,TN814676695,express,0.0,2025-09-29,2025-10-04,2025-10-06,in_transit,8.59
275,Amazon Logistics,TN243814391,two_day,0.0,2025-05-28,2025-06-01,2025-05-31,delivered,8.39
276,FedEx,TN586788390,express,0.0,2024-02-11,2024-02-18,2024-02-18,shipped,9.39
277,FedEx,TN364087745,two_day,0.0,2024-11-22,2024-11-26,2024-11-25,shipped,3.67
278,UPS,TN331099333,free,0.0,2024-09-13,2024-09-17,2024-09-16,returned,14.28
279,DHL,TN601573651,express,0.0,2024-09-21,2024-09-25,2024-09-27,pending,16.91
280,UPS,TN688720372,standard,0.0,2024-05-23,2024-05-25,2024-05-25,returned,14.27
281,DHL,TN957539041,overnight,0.0,2024-02-04,2024-02-09,,shipped,10.49
284,UPS,TN968543306,overnight,0.0,2025-04-21,2025-04-27,2025-04-26,returned,14.34
285,UPS,TN644690045,standard,0.0,2025-05-02,2025-05-06,2025-05-05,delivered,5.01
286,Amazon Logistics,TN874585681,express,0.0,2024-12-02,2024-12-06,2024-12-08,pending,1.92
287,DHL,TN793406653,standard,0.0,2024-03-19,2024-03-23,2024-03-24,shipped,8.62
288,USPS,TN598959193,overnight,6.82,2024-10-08,2024-10-15,2024-10-14,delivered,19.94
289,DHL,TN449933683,free,0.0,2024-12-16,2024-12-20,2024-12-22,delivered,10.36
290,UPS,TN490402917,express,0.0,2025-09-10,2025-09-13,2025-09-15,delivered,5.88
291,USPS,TN121498776,two_day,0.0,2024-01-01,2024-01-07,2024-01-07,delivered,14.62
292,DHL,TN209672224,free,0.0,2023-10-02,2023-10-05,2023-10-04,pending,19.78
293,DHL,TN660558716,free,21.56,2023-12-21,2023-12-25,2023-12-26,pending,1.83
295,FedEx,TN573117736,express,0.0,2025-07-17,2025-07-24,2025-07-26,in_transit,18.34
296,UPS,TN838139093,standard,13.95,2025-02-12,2025-02-16,2025-02-16,shipped,16.65
297,DHL,TN178003511,express,0.0,2024-09-29,2024-10-01,2024-09-30,delivered,11.61
298,Amazon Logistics,TN862923760,express,0.0,2025-09-23,2025-09-28,2025-09-29,delivered,7.87
300,FedEx,TN979804155,express,0.0,2024-02-07,2024-02-14,2024-02-15,pending,17.94
301,Amazon Logistics,TN318659856,two_day,0.0,2024-01-27,2024-02-03,2024-02-03,shipped,6.95
302,USPS,TN807442077,overnight,21.81,2024-10-12,2024-10-14,2024-10-14,returned,0.6
303,USPS,TN364535288,two_day,0.0,2024-02-10,2024-02-12,2024-02-11,shipped,11.23
304,Amazon Logistics,TN971903919,standard,0.0,2025-01-17,2025-01-21,2025-01-22,in_transit,2.57
305,DHL,TN692765257,two_day,8.0,2025-04-21,2025-04-26,,delivered,9.38
306,UPS,TN741709688,standard,22.57,2025-01-20,2025-01-23,2025-01-23,in_transit,12.38
307,USPS,TN850915727,overnight,0.0,2024-04-25,2024-04-28,2024-04-28,in_transit,17.84
308,UPS,TN233610793,free,0.0,2024-12-25,2024-12-27,2024-12-28,in_transit,17.74
310,UPS,TN553478482,two_day,0.0,2024-08-14,2024-08-17,2024-08-16,returned,11.2
311,USPS,TN953363499,standard,0.0,2024-11-02,2024-11-07,2024-11-06,pending,10.14
312,DHL,TN339521470,overnight,8.5,2025-05-30,2025-06-04,,delivered,9.35
313,FedEx,TN791124575,free,0.0,2024-10-18,2024-10-21,2024-10-23,returned,1.29
315,FedEx,TN606018354,express,0.0,2024-08-01,2024-08-07,2024-08-09,delivered,4.07
318,USPS,TN924774414,two_day,15.55,2025-03-21,2025-03-26,2025-03-27,pending,16.21
320,USPS,TN375290472,two_day,0.0,2025-04-08,2025-04-12,2025-04-14,shipped,16.09
321,Amazon Logistics,TN303426567,two_day,0.0,2023-10-29,2023-11-01,2023-10-31,in_transit,8.51
322,DHL,TN666674315,standard,8.63,2024-04-23,2024-04-30,2024-05-02,in_transit,19.47
323,FedEx,TN777121526,overnight,9.64,2024-08-20,2024-08-25,2024-08-26,shipped,11.26
325,USPS,TN221916094,two_day,0.0,2025-02-11,2025-02-17,2025-02-16,returned,5.69
326,DHL,TN809229498,free,0.0,2025-03-25,2025-03-28,2025-03-27,shipped,2.52
327,Amazon Logistics,TN758783970,express,0.0,2024-08-20,2024-08-24,2024-08-23,returned,4.82
328,USPS,TN797635124,overnight,0.0,2024-12-27,2025-01-01,2025-01-01,shipped,5.03
329,Amazon Logistics,TN577029161,express,0.0,2025-04-08,2025-04-10,2025-04-09,delivered,16.76
330,UPS,TN128048110,two_day,2.07,2024-06-18,2024-06-24,,delivered,19.28
333,FedEx,TN897209249,overnight,0.0,2025-08-28,2025-09-04,2025-09-05,in_transit,18.56
334,USPS,TN482269725,express,14.28,2024-09-25,2024-09-30,2024-10-01,shipped,11.61
336,USPS,TN150529438,two_day,0.0,2024-01-03,2024-01-09,2024-01-11,in_transit,6.0
338,Amazon Logistics,TN224940477,standard,0.0,2023-12-17,2023-12-24,2023-12-23,delivered,5.89
339,DHL,TN663098660,free,0.0,2025-06-22,2025-06-28,2025-06-29,shipped,5.06
341,FedEx,TN692650595,two_day,0.0,2023-10-04,2023-10-09,2023-10-09,in_transit,3.19
342,UPS,TN497772241,express,3.2,2024-11-02,2024-11-06,2024-11-07,in_transit,12.06
343,DHL,TN989876667,two_day,0.0,2025-03-28,2025-04-01,2025-04-01,returned,17.04
344,Amazon Logistics,TN443016483,two_day,0.0,2025-03-24,2025-03-27,2025-03-29,pending,2.64
346,Amazon Logistics,TN929653034,standard,19.9,2024-05-02,2024-05-04,2024-05-04,shipped,14.92
347,FedEx,TN545261242,standard,0.0,2024-09-17,2024-09-19,2024-09-20,in_transit,6.02
348,DHL,TN325474351,two_day,24.33,2024-04-09,2024-04-15,2024-04-16,shipped,5.37
350,DHL,TN257185863,express,0.0,2024-12-07,2024-12-13,2024-12-14,in_transit,8.16
